Date,Location,loc_temp,Taxon,Sample_ID,Body_Length_cm,Weight_g,Size_cat,Time_sec,Distance_cm,Acclim_temp,test,Temp,end_time_s,Notes,Acclim_time
6/13/2025,Nuuk,21.9,muscids,F12-N13,,0.0086,,10.22,24,,CCRT,-23,,,
6/13/2025,Nuuk,21.9,muscids,F13-N13,,0.008,,11.91,25,,CCRT,-23,,,
6/13/2025,Nuuk,11.8,muscids,M9-N13,0.5,0.0061,,22.04,13,,HKDT,38,2330,,
6/13/2025,Nuuk,11.9,muscids,M10-N13,0.4,0.0036,,11.75,2,,HKDT,38,3282,,
6/13/2025,Nuuk,11.6,muscids,M11-N13,0.45,0.0035,,31.46,25,,HKDT,38,3089,,
6/13/2025,Nuuk,11.2,muscids,M12-N13,0.4,0.0026,,12.7,4,,,,,,
6/13/2025,Nuuk,11.1,muscids,M13-N13,0.55,0.0083,,29.04,15,,,,,,
6/13/2025,Nuuk,11.7,muscids,M14-N13,0.5,0.0074,,NA,0,,,,,fail,
6/13/2025,Nuuk,11,muscids,M15-N13,0.5,0.0052,,37.74,13,,,,,,
6/13/2025,Nuuk,10.9,muscids,M16-N13,0.45,0.005,,NA,0,,,,,fail,
6/15/2025,Nuuk,27.5,muscids,U2-N15,,0.0016,,NA,NA,,,,,potential escapee,
6/16/2025,Nuuk,28.5,muscids,U4-N15,,0.0013,,19.07,8,,,,,,
6/17/2025,Kobbefjord,14.6,wolf_spider,1A-K17,,,,2.46,25,,CCRT,0.8,0.34,,
6/17/2025,Kobbefjord,14.6,wolf_spider,2A-K17,,,,4.59,25,,CCRT,0.8,62,,
6/17/2025,Kobbefjord,14.7,wolf_spider,3A-K17,,,,7.81,25,,CCRT,0.8,69,,
6/17/2025,Kobbefjord,14.8,wolf_spider,4A-K17,,,,2.7,5,,CCRT,0.8,66,,
6/17/2025,Kobbefjord,14.9,wolf_spider,5A-K17,,,,1,25,,CCRT,0.8,0.5,,
6/17/2025,Kobbefjord,3.8,wolf_spider,1B-K17,,,,13.88,25,,CCRT,0.8,0.55,,
6/17/2025,Kobbefjord,3.7,wolf_spider,2B-K17,,,,5.89,25,,CCRT,0.8,NA,dead,
6/17/2025,Kobbefjord,3.7,wolf_spider,3B-K17,,,,13.28,25,,CCRT,0.8,0.46,,
