"","Date","Location","loc_temp","Taxon","Sample_ID","Body_Length_cm","Weight_g","Size_cat","Time_sec","Distance_cm","Acclim_temp","test","Temp","end_time_s","Notes","X","movement","speed","temp_range"
"37","13-Jun-25","Nuuk",10.7,"weevil","BT20-N13",0.08,0.0445,"L",NA,0,NA,"CCRT",0.6,"119","fail","","no",NA,"10-15"
"38","13-Jun-25","Nuuk",10.7,"weevil","BT21-N13",0.08,0.463,"L",40,8,NA,"CCRT",0.6,"245","","","yes",0.2,"10-15"
"39","13-Jun-25","Nuuk",10.7,"weevil","BT22-N13",0.06,0.0387,"S",57,14.7,NA,"CCRT",0.6,"101","","","yes",0.257894736842105,"10-15"
"40","13-Jun-25","Nuuk",37,"weevil","BT23-N13",0.07,0.0365,"S",24.94,14,NA,"CCRT",0.6,">600","","","yes",0.561347233360064,"35-40"
"41","13-Jun-25","Nuuk",35.9,"weevil","BT24-N13",0.075,0.0426,"L",24.65,13.5,NA,"CCRT",0.6,"209","","","yes",0.547667342799189,"35-40"
"42","13-Jun-25","Nuuk",32.6,"weevil","BT25-N13",0.07,0.0455,"L",19.56,11,NA,"CCRT",0.6,"275","","","yes",0.562372188139059,"30-35"
"43","13-Jun-25","Nuuk",34.1,"weevil","BT26-N13",0.065,0.0444,"L",23.76,12,NA,"CCRT",0.6,"94","","","yes",0.505050505050505,"30-35"
"44","13-Jun-25","Nuuk",34.1,"weevil","BT27-N13",0.065,0.0365,"S",25.37,25,NA,"CCRT",0.6,"91","","","yes",0.985415845486795,"30-35"
"45","13-Jun-25","Nuuk",21.9,"muscids","F1-N13",NA,NA,NA,10,25,NA,"CCRT",-23,"","all did not recover, failed test","","yes",2.5,"20-25"
"46","13-Jun-25","Nuuk",21.9,"muscids","F2-N13",NA,0.0133,"S",NA,0,NA,"CCRT",-23,"","fail","","no",NA,"20-25"
"47","13-Jun-25","Nuuk",21.9,"muscids","F4-N13",NA,0.0103,"S",8.91,25,NA,"CCRT",-23,"","","","yes",2.80583613916947,"20-25"
"48","13-Jun-25","Nuuk",21.9,"muscids","F5-N13",NA,0.0091,"S",13.54,25,NA,"CCRT",-23,"","","","yes",1.84638109305761,"20-25"
"49","13-Jun-25","Nuuk",21.9,"muscids","F6-N13",NA,0.0149,"S",13.73,25,NA,"CCRT",-23,"","","","yes",1.82083029861617,"20-25"
"50","13-Jun-25","Nuuk",21.9,"muscids","F7-N13",NA,0.0124,"S",3.87,5,NA,"CCRT",-23,"","","","yes",1.29198966408269,"20-25"
"51","13-Jun-25","Nuuk",21.9,"muscids","F8-N13",NA,0.0158,"S",14.26,12,NA,"CCRT",-23,"","","","yes",0.841514726507714,"20-25"
"52","13-Jun-25","Nuuk",21.9,"muscids","F9-N13",NA,0.0072,"S",NA,0,NA,"CCRT",-23,"","fail","","no",NA,"20-25"
"53","13-Jun-25","Nuuk",21.9,"muscids","F10-N13",NA,0.0063,"S",NA,0,NA,"CCRT",-23,"","fail","","no",NA,"20-25"
"54","13-Jun-25","Nuuk",21.9,"muscids","F11-N13",NA,0.0099,"S",13.97,3,NA,"CCRT",-23,"","","","yes",0.214745884037223,"20-25"
"55","13-Jun-25","Nuuk",21.9,"muscids","F12-N13",NA,0.0086,"S",10.22,24,NA,"CCRT",-23,"","","","yes",2.34833659491194,"20-25"
"56","13-Jun-25","Nuuk",21.9,"muscids","F13-N13",NA,0.008,"S",11.91,25,NA,"CCRT",-23,"","","","yes",2.09907640638119,"20-25"
"57","13-Jun-25","Nuuk",11.8,"muscids","M9-N13",0.5,0.0061,"S",22.04,13,NA,"HKDT",38,"2330","","","yes",0.58983666061706,"10-15"
"58","13-Jun-25","Nuuk",11.9,"muscids","M10-N13",0.4,0.0036,"S",11.75,2,NA,"HKDT",38,"3282","","","yes",0.170212765957447,"10-15"
"59","13-Jun-25","Nuuk",11.6,"muscids","M11-N13",0.45,0.0035,"S",31.46,25,NA,"HKDT",38,"3089","","","yes",0.794659885568976,"10-15"
"60","13-Jun-25","Nuuk",11.2,"muscids","M12-N13",0.4,0.0026,"S",12.7,4,NA,"",NA,"","","","yes",0.31496062992126,"10-15"
"61","13-Jun-25","Nuuk",11.1,"muscids","M13-N13",0.55,0.0083,"S",29.04,15,NA,"",NA,"","","","yes",0.516528925619835,"10-15"
"62","13-Jun-25","Nuuk",11.7,"muscids","M14-N13",0.5,0.0074,"S",NA,0,NA,"",NA,"","fail","","no",NA,"10-15"
"63","13-Jun-25","Nuuk",11,"muscids","M15-N13",0.5,0.0052,"S",37.74,13,NA,"",NA,"","","","yes",0.344462109167992,"10-15"
"64","13-Jun-25","Nuuk",10.9,"muscids","M16-N13",0.45,0.005,"S",NA,0,NA,"",NA,"","fail","","no",NA,"10-15"
"65","15-Jun-25","Nuuk",27.5,"muscids","U2-N15",NA,0.0016,"S",NA,NA,NA,"",NA,"","potential escapee","",NA,NA,"25-30"
"66","16-Jun-25","Nuuk",28.5,"muscids","U4-N15",NA,0.0013,"S",19.07,8,NA,"",NA,"","","","yes",0.419507079181961,"25-30"
"67","17-Jun-25","Kobbefjord",14.6,"wolf_spider","1A-K17",NA,NA,NA,2.46,25,NA,"CCRT",0.8,"0.34","","","yes",10.1626016260163,"10-15"
"68","17-Jun-25","Kobbefjord",14.6,"wolf_spider","2A-K17",NA,NA,NA,4.59,25,NA,"CCRT",0.8,"62","","","yes",5.44662309368192,"10-15"
"69","17-Jun-25","Kobbefjord",14.7,"wolf_spider","3A-K17",NA,NA,NA,7.81,25,NA,"CCRT",0.8,"69","","","yes",3.20102432778489,"10-15"
